business_product_id;name;discriminator;street;house_number;postal_code;main_city_name;number_of_units;maximum_capacity;email;phone1;lat;long;nearestFC;distanceFC
383798;‘t Goed ter Fintele;HOLIDAY_COTTAGE;FINTELE;11;8647;Lo-Reninge;1;20;info@tgoedterfintele.be;0477610777;50.958042;2.738862;Poelkapelle;16.440719737123516
379181;‘t Hooghe Huys;HOLIDAY_COTTAGE;BREDERODESTRAAT;184B;2018;Antwerpen;1;2;bert-v.r@hotmail.com;+32497656609;51.20065;4.391122;Deurne;4.7420228720824005
379180;‘t Hooghe Huys;HOLIDAY_COTTAGE;BREDERODESTRAAT;184A;2018;Antwerpen;1;2;bert-v.r@hotmail.com;+32497656609;51.20065;4.391122;Deurne;4.7420228720824005
379179;‘t Hooghe Huys;HOLIDAY_COTTAGE;BREDERODESTRAAT;184;2018;Antwerpen;1;2;bert-v.r@hotmail.com;+32497656609;51.200715;4.391174;Deurne;4.736740570943677
382018;‘t Scheef Huisje;GENERIC_ROOMS;INFIRMERIEPLEIN;15;2018;Antwerpen;1;2;christian.hillemans@skynet.be;0032475807438;51.2018907952;4.4260400588;Deurne;2.3859856197983462
211128;+++blancoooKAMIL+++;HOLIDAY_COTTAGE;Provinciestraat;197;2018;Antwerpen;1;6;annemie@blancooo.be;+32 486 38 69 25;51.21162727985417;4.426381490349351;Deurne;2.1364244510249204
379758;0601;HOLIDAY_COTTAGE;ZEEDIJK;39;8660;De Panne;1;6;;;51.102233;2.587165;Koksijde;3.137556001798074
379995;0601 (3600);HOLIDAY_COTTAGE;ZEEDIJK;134;8660;De Panne;1;6;;;51.106273;2.59767;Koksijde;2.499382419259031
251065;1;BED_AND_BREAKFAST;VELDBRUGSTRAAT;64;9060;Zelzate;2;3;dhaeze_els@hotmail.com;;51.194091;3.799377;Gent;13.90337642725618
211456;1 2 Stay (Want To Stay);BED_AND_BREAKFAST;Noordveenakkerstraat;66;9000;Gent;1;2;lodge@12stay.be;+32 478 34 93 34;51.0736007002955;3.74539881569624;Gent;0.5232336725792365
212029;1 2 trios ... Le Roi;BED_AND_BREAKFAST;EENDRACHTSTRAAT;82;9000;Gent;1;3;info@123leroi.be;+32 9 346 83 08;51.048559;3.743096;Gent;2.978044824149102
299370;1000 Vuren;HOLIDAY_COTTAGE;NOORDSTRAAT;1;9000;Gent;1;2;nina@telenet.be;;51.056823;3.709486;Gent;2.8735685224417917
211334;13 O'Clock Hostel Ghent;HOSTEL;UNIVERSITEITSTRAAT;13;9000;Gent;115;115;info@13oclock.be;;51.050918;3.723378;Gent;2.8941905777734154
219003;15 Inn;BED_AND_BREAKFAST;GESTELSEWEG;15;2491;Balen;4;9;info@15inn.be;+32 14 82 05 46;51.119379;5.127901;Lommel;21.992924693601132
297730;1570;BED_AND_BREAKFAST;ZEUNINGENSTRAAT;8;1570;Galmaarden;2;8;maya.hanssens@gmail.com;;50.742156;3.995092;Sint-Pieters-Woluwe;30.56627550050333
357585;17th century attic rooms;GENERIC_ROOMS;Ganzenstraat;51;8000;Brugge;1;4;;;51.208299;3.235767;Poelkapelle;34.64172872716855
275877;1820;BED_AND_BREAKFAST;Sint-Jansvest;20;9000;Gent;1;2;lievengoossens@telenet.be;+32 485 57 65 46;51.0497589431387;3.72709027675199;Gent;2.9342351516774317
324846;1898 The Post;HOTEL;GRASLEI;16;9000;Gent;38;82;reservations@1898thepost.com;+3292770960;;;Herbeumont;5540.271330169284
220258;1JB JONCKERSHOF 233;HOLIDAY_COTTAGE;DUINENWEG;539;8430;Middelkerke;1;4;info@jonckershof.be;+32 59 30 18 73;51.171095;2.782653;Koksijde;13.217226992476105
382221;2 floors 12 single beds close to shopping centre;GENERIC_ROOMS;SINT-THOMASSTRAAT;39;2018;Antwerpen;4;12;robert@symcorp.be;032327383;51.204496;4.412814;Deurne;3.167718405615392
367844;2 Sides;BED_AND_BREAKFAST;Kerkstraat;9;8400;Oostende;5;12;tea1975@msn.com;+32485191029;51.23142;2.919017;Koksijde;24.871279806208147
228393;2000 0203;HOLIDAY_COTTAGE;Zeedijk;240;8430;Middelkerke;1;4;isabelle.sanders@telenet.be;+32 50 81 13 21;51.18214897273906;2.801720950285387;Koksijde;15.023043490736717
223493;2000 10336 MIDDELKERKE;HOLIDAY_COTTAGE;ZEEDIJK;240;8430;Middelkerke;1;4;info@agem.be;+32 59 30 17 79;51.18235;2.801427;Koksijde;15.020428884913137
223494;2000 10666 MIDDELKERKE;HOLIDAY_COTTAGE;Zeedijk;240;8430;Middelkerke;1;4;info@agem.be;+32 59 30 17 79;51.18214897273906;2.801720950285387;Koksijde;15.023043490736717
223495;2000 10775 MIDDELKERKE;HOLIDAY_COTTAGE;ZEEDIJK;240;8430;Middelkerke;1;6;info@agem.be;+32 59 30 17 79;51.18235;2.801427;Koksijde;15.020428884913137
223496;2000 20302 MIDDELKERKE;HOLIDAY_COTTAGE;ZEEDIJK;240;8430;Middelkerke;1;6;info@agem.be;+32 59 30 17 79;51.18235;2.801427;Koksijde;15.020428884913137
223497;2000 30551 MIDDELKERKE;HOLIDAY_COTTAGE;ZEEDIJK;240;8430;Middelkerke;1;7;info@agem.be;+32 59 30 17 79;51.18235;2.801427;Koksijde;15.020428884913137
223498;2000 S0114 MIDDELKERKE;HOLIDAY_COTTAGE;Zeedijk;240;8430;Middelkerke;1;4;info@agem.be;+32 59 30 17 79;51.18214897273906;2.801720950285387;Koksijde;15.023043490736717
223499;2000 S0552 MIDDELKERKE;HOLIDAY_COTTAGE;ZEEDIJK;240;8430;Middelkerke;1;4;info@agem.be;+32 59 30 17 79;51.18235;2.801427;Koksijde;15.020428884913137
223500;2000 S0662 MIDDELKERKE;HOLIDAY_COTTAGE;ZEEDIJK;240;8430;Middelkerke;1;4;info@agem.be;+32 59 30 17 79;51.18235;2.801427;Koksijde;15.020428884913137
223501;2000 S0906;HOLIDAY_COTTAGE;ZEEDIJK;240;8430;Middelkerke;1;4;info@agem.be;+32 59 30 17 79;51.18235;2.801427;Koksijde;15.020428884913137
299096;2060;HOLIDAY_COTTAGE;Wetstraat;38;2060;Antwerpen;1;4;;;51.2203597782208;4.4282692520042;Deurne;2.2570581523580584
379578;22b&b;BED_AND_BREAKFAST;SINT-VINCENTIUSSTRAAT;22;2018;Antwerpen;4;12;info@22bnb.be;+32475674930;51.204993;4.413582;Deurne;3.103079883815435
383721;24 Geuzenstraat;HOLIDAY_COTTAGE;Geuzenstraat;24;8400;Oostende;1;3;;;;;Herbeumont;5540.271330169284
379568;26A kwadraat;HOLIDAY_COTTAGE;SUIKERSTRAAT;26A;9260;Wichelen;1;5;wouter@chismoor.net;;50.993464;3.949266;Gent;17.363194411649847
299708;2AM AMOGIS 303;HOLIDAY_COTTAGE;DUINENWEG;523;8430;Middelkerke;1;4;;;51.172114;2.784834;Koksijde;13.407274247039023
222563;2AM AMOGIS 304;HOLIDAY_COTTAGE;Duinenweg;523;8430;Middelkerke;1;4;info@jonckershof.be;+32 59 30 18 73;51.17111325424929;2.7828677608269;Koksijde;13.230459138879857
222564;2AM AMOGIS 305;HOLIDAY_COTTAGE;Duinenweg;523;8430;Middelkerke;1;4;info@jonckershof.be;+32 59 30 18 73;51.17111325424929;2.7828677608269;Koksijde;13.230459138879857
222565;2AM AMOGIS 306;HOLIDAY_COTTAGE;Duinenweg;523;8430;Middelkerke;1;4;info@jonckershof.be;+32 59 30 18 73;51.17111325424929;2.7828677608269;Koksijde;13.230459138879857
222566;2AM AMOGIS 307;HOLIDAY_COTTAGE;Duinenweg;523;8430;Middelkerke;1;4;info@jonckershof.be;+32 59 30 18 73;51.17111325424929;2.7828677608269;Koksijde;13.230459138879857
222567;2AM AMOGIS 308;HOLIDAY_COTTAGE;Duinenweg;523;8430;Middelkerke;1;4;info@jonckershof.be;+32 59 30 18 73;51.17111325424929;2.7828677608269;Koksijde;13.230459138879857
222568;2AM AMOGIS 309;HOLIDAY_COTTAGE;Duinenweg;523;8430;Middelkerke;1;4;info@jonckershof.be;+32 59 30 18 73;51.17111325424929;2.7828677608269;Koksijde;13.230459138879857
222558;2AM AMOGIS 310;HOLIDAY_COTTAGE;Duinenweg;523;8430;Middelkerke;1;4;info@jonckershof.be;+32 59 30 18 73;51.17111325424929;2.7828677608269;Koksijde;13.230459138879857
222559;2AM AMOGIS 311;HOLIDAY_COTTAGE;Duinenweg;523;8430;Middelkerke;1;4;info@jonckershof.be;+32 59 30 18 73;51.17111325424929;2.7828677608269;Koksijde;13.230459138879857
299726;2AM+ 361;HOLIDAY_COTTAGE;DUINENWEG;523;8430;Middelkerke;1;5;;;51.172114;2.784834;Koksijde;13.407274247039023
299712;2AM+ 362;HOLIDAY_COTTAGE;DUINENWEG;523;8430;Middelkerke;1;5;;;51.172114;2.784834;Koksijde;13.407274247039023
299739;2AM+ 365;HOLIDAY_COTTAGE;DUINENWEG;523;8430;Middelkerke;1;5;;;51.172114;2.784834;Koksijde;13.407274247039023
299727;2AM+ 366;HOLIDAY_COTTAGE;DUINENWEG;523;8430;Middelkerke;1;5;;;51.172114;2.784834;Koksijde;13.407274247039023
299703;2AM+ 367;HOLIDAY_COTTAGE;DUINENWEG;523;8430;Middelkerke;1;5;;;51.172114;2.784834;Koksijde;13.407274247039023
222550;2AM+ 368;HOLIDAY_COTTAGE;Duinenweg;523;8430;Middelkerke;1;5;info@jonckershof.be;+32 59 30 18 73;51.17111325424929;2.7828677608269;Koksijde;13.230459138879857
299718;2AM+ 369;HOLIDAY_COTTAGE;DUINENWEG;523;8430;Middelkerke;1;5;;;51.172114;2.784834;Koksijde;13.407274247039023
380310;2B @ SEA;HOLIDAY_COTTAGE;Ter Cuereplein;10;8450;Bredene;1;8;info@2b-at-sea.be;;51.237075;2.959179;Koksijde;27.53426163741454
346112;2-room set;GENERIC_ROOMS;ADRIAANSTRAAT;68;3090;Overijse;2;4;patricia.s@email.cz;+32472762246;50.767672;4.549776;Overijse;3.000437122047872
299717;2SI SIGOMA 402;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
299734;2SI SIGOMA 406;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
299710;2SI SIGOMA 410;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
299711;2SI SIGOMA 412;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
299722;2SI SIGOMA 414;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
299723;2SI SIGOMA 431;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
299724;2SI SIGOMA 433;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
299695;2SI SIGOMA 436;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
299730;2SI SIGOMA 437;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
299744;2SI SIGOMA 438;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
299731;2SI SIGOMA 441;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
299704;2SI SIGOMA 442;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
299700;2SI SIGOMA 443;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
299701;2SI SIGOMA 446;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
299725;2SI SIGOMA 447;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
299715;2SI SIGOMA 448;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
299702;2SI SIGOMA 452;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;4;;;51.170471;2.781295;Koksijde;13.099592988958022
219624;2sprong;BED_AND_BREAKFAST;MENENSTRAAT;45;8560;Wevelgem;3;6;info@2sprong.be;+32 56 41 63 01;50.807311;3.177126;Mouscron;7.534418634463323
212228;3 kings;HOLIDAY_COTTAGE;Driekoningenweg;17a;8310;Brugge;1;6;info@3-kings.be;+32478433189;51.211748630237;3.24330253926104;Poelkapelle;35.248601595219995
211185;3 Paardekens;HOTEL;BEGIJNENSTRAAT;3;2800;Mechelen;33;60;info@3paardekens.be;+32 15 34 27 13;51.028104;4.478044;Steenokkerzeel;13.001741428847154
301169;3 Zeesteden;HOLIDAY_COTTAGE;ALBERT I LAAN;;8620;Nieuwpoort;1;4;;;51.149582;2.718864;Koksijde;8.247947503038285
224238;31.020;HOLIDAY_COTTAGE;Bredeweg;80;8420;De Haan;1;6;info@zeeparken.be;;51.26384828433939;3.038989562550926;Koksijde;33.829523531962565
228229;31.157;HOLIDAY_COTTAGE;Bredeweg;80 b;8420;De Haan;1;4;info@zeeparken.be;+32 59 23 58 54;51.26128379613887;3.038750794089935;Koksijde;33.662877482005825
299681;39.009;HOLIDAY_COTTAGE;BREDEWEG;80;8420;De Haan;1;2;;;51.262854;3.037924;Koksijde;33.70738182586784
276951;3C Apartments;GENERIC_ROOMS;VLAANDERENSTRAAT;17;9000;Gent;1;6;ivo.v.manolov@gmail.com;+32 479 25 99 17;51.050979;3.72929;Gent;2.76427534632662
276950;3C Apartments;GENERIC_ROOMS;VLAANDERENSTRAAT;15;9000;Gent;1;6;ivo.v.manolov@gmail.com;+32 479 25 99 17;51.050979;3.72929;Gent;2.76427534632662
226318;3CBrussels;CAMPING;WARANDEBERG;52;1970;Wezembeek-Oppem;67;262;yvandhondt@hotmail.com;+32 2 782 10 09;50.857102;4.485103;Zaventem;3.523026381731705
299737;3SI SIGOMA 401;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;6;;;51.170471;2.781295;Koksijde;13.099592988958022
299733;3SI SIGOMA 405;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;6;;;51.170471;2.781295;Koksijde;13.099592988958022
299698;3SI SIGOMA 409;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;6;;;51.170471;2.781295;Koksijde;13.099592988958022
299729;3SI SIGOMA 413;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;6;;;51.170471;2.781295;Koksijde;13.099592988958022
299714;3SI SIGOMA 430;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;6;;;51.170471;2.781295;Koksijde;13.099592988958022
299721;3SI SIGOMA 432;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;6;;;51.170471;2.781295;Koksijde;13.099592988958022
302010;3SI SIGOMA 439;HOLIDAY_COTTAGE;Duinenweg;541_482;8430;Middelkerke;1;6;;;51.1695995868735;2.78000069371819;Koksijde;12.969008477769139
299709;3SI SIGOMA 451;HOLIDAY_COTTAGE;DUINENWEG;541;8430;Middelkerke;1;6;;;51.170471;2.781295;Koksijde;13.099592988958022
224775;4 WINDEN 4-WIND;HOLIDAY_COTTAGE;Graszodenlaan;3;8670;Koksijde;1;5;agencenotredame@skynet.be;+32 58 51 15 78;51.10657839177572;2.624314807331992;Koksijde;0.9305433518762414
213451;43B;HOLIDAY_COTTAGE;ZEEDIJK;157;8370;Blankenberge;1;4;lea.persoons@skynet.be;;51.317209;3.132422;Koksijde;42.54254655909249
230440;4Arms;BED_AND_BREAKFAST;BARON ALBERT D'HUARTLAAN;295;1950;Kraainem;2;6;anne@couplet.be;+32 485 56 34 39;50.825741;4.474494;Sint-Pieters-Woluwe;4.6848919880922235
277153;4B B&B Brugge;BED_AND_BREAKFAST;GENTHOF;26;8000;Brugge;2;4;eballieu@gazeta.pl;+32 50 34 74 45;51.212695;3.227175;Poelkapelle;34.74197153777969
211754;4-Sight;HOLIDAY_COTTAGE;Simon Stevinplein;17-18;8000;Brugge;1;12;;+32 50 34 66 66;51.2064210014491;3.22233589354866;Poelkapelle;33.969687499431444
261604;4windenhof;HOLIDAY_COTTAGE;GILDESTRAAT;4;8958;Heuvelland;1;20;info@4windenhof.be;+04 72 43 37 68;50.781221;2.766333;Poelkapelle;23.267533026053304
251106;4windenhof;HOLIDAY_COTTAGE;GILDESTRAAT;4;8958;Heuvelland;1;12;info@4windenhof.be;+04 72 43 37 68;50.781221;2.766333;Poelkapelle;23.267533026053304
379768;501;HOLIDAY_COTTAGE;ZEEDIJK;122;8660;De Panne;1;6;;;51.106117;2.597269;Koksijde;2.52123763824417
213465;51.027;HOLIDAY_COTTAGE;Blankenbergsesteenweg;3;8420;De Haan;1;4;fabiolabeachpark@zeeparken.be;+32 50 41 27 75;51.30733070431594;3.102497143221616;Koksijde;40.201409559816
381839;60's chique & bright;GENERIC_ROOMS;Vlaanderenstraat;113;9000;Gent;;;;;;;Herbeumont;5540.271330169284
381838;60's chique & warm;GENERIC_ROOMS;Vlaanderenstraat;115;9000;Gent;1;3;;;;;Herbeumont;5540.271330169284
381998;7G 0203;HOLIDAY_COTTAGE;WESTENDELAAN;100;8430;Middelkerke;1;2;;;51.176175;2.80255;Koksijde;14.674350876402992
213422;81.014;HOLIDAY_COTTAGE;WULPJESWEG;3;8420;De Haan;1;4;haerendycke@zeeparken.be;+32 50 41 27 75;51.309337;3.107668;Koksijde;40.624849661787785
379769;8A;HOLIDAY_COTTAGE;WALCKIERSTRAAT;5;8660;De Panne;1;6;;;51.103612;2.591838;Koksijde;2.831484350188246
381945;9 single bed loft by river, marina and MAS museum;GENERIC_ROOMS;NASSAUSTRAAT;14;2000;Antwerpen;1;12;robert@symcorp.be;032327383;51.230631;4.405277;Deurne;4.217941851571441
212022;A Bed Affair;BED_AND_BREAKFAST;KARRENSTRAAT;5;9000;Gent;1;2;andetavernier@gmail.com;;51.04912;3.716573;Gent;3.2748661012500246
384982;A Bien Venue;HOLIDAY_COTTAGE;Albatrosstraat;8;8301;Knokke-Heist;1;4;info@abienvenue.be;0032486656671;;;Herbeumont;5540.271330169284
275122;A capella;HOLIDAY_COTTAGE;Paul de Smet de Naeyerstraat;32;8430;Middelkerke;1;2;sandra.dekerpel@telenet.be;+32 9 366 52 31;51.188391914635;2.8182336643371;Koksijde;16.36230815369658
276449;A Casa;BED_AND_BREAKFAST;Marktstraat;19;8620;Nieuwpoort;4;8;info@ristorantedaclaudio.be;;51.131398;2.752159;Koksijde;9.139747349262855
380854;A Flemish Tale;GENERIC_ROOMS;VOLDERSSTRAAT;13;9000;Gent;4;8;;;51.052211;3.722636;Gent;2.7808326975273583
221403;A Gen Bron;HOLIDAY_COTTAGE;SINNICH;27;3793;Voeren;1;10;timsieben@hotmail.com;+3243810948;50.74716;5.882971;Theux;23.52767290198497
381311;A House in Mechelen;GENERIC_ROOMS;DONKERLEI;69;2800;Mechelen;2;4;panxm@msn.com;0488969220;51.036818;4.478079;Steenokkerzeel;13.954811838357074
211356;A la bonne heure;BED_AND_BREAKFAST;AJUINMARKTSTRAAT;22;9050;Gent;2;4;info@alabonneheure.eu;;51.038915;3.744205;Gent;4.05313297532311
240669;A La Ferme;HOLIDAY_COTTAGE;Zeelaan;112-114;8660;De Panne;1;4;willem@dunimmo.be;+3258411208;51.0999651960617;2.592609276067628;Koksijde;2.743362247123116
381726;A LA FERME 0603 FERME 0603;HOLIDAY_COTTAGE;ZEELAAN;112-114;8660;De Panne;1;4;;;51.099985;2.592234;Koksijde;2.7696748404721516
384697;A LA FERME FERM0705;HOLIDAY_COTTAGE;ZEELAAN;112-114;8660;De Panne;1;4;;;51.099985;2.592234;Koksijde;2.7696748404721516
223601;à la Maison;HOLIDAY_COTTAGE;SINT-MARTINUSSTRAAT;22;3870;Heers;1;18;christine.brone@gmail.com;+32 495 93 62 53;50.760497;5.375168;Sint-Truiden;14.966447629270316
261585;A L'AmuZette;BED_AND_BREAKFAST;KROMMEWAL;2;9000;Gent;1;4;alamuzette@gmail.com;+32 9 398 29 80;51.059224;3.726558;Gent;1.9563597996142104
380497;A nice Mansion with Garden in Center of Belgium;GENERIC_ROOMS;HENDRIK SPEECQVEST;46;2800;Mechelen;1;6;lucdecloedt@telenet.be;;51.021052;4.485029;Steenokkerzeel;12.14403796294589
381378;A painter's home in Ghent;GENERIC_ROOMS;PROSPER VAN LANGENDONCKSTRAAT;61;9050;Gent;1;2;sophie.depoortere@hotmail.com;0477179151;51.024764;3.758888;Gent;5.788527334504673
275145;A Passage to the world;BED_AND_BREAKFAST;HEIDESTRAAT;53;3080;Tervuren;1;2;ursula.quadpeerds@gmail.com;+32 476 84 54 89;50.813255;4.54646;Overijse;6.15396407918115
382945;A place to be happy and free;GENERIC_ROOMS;Blancefloerlaan;371;2050;Antwerpen;1;4;daniel-jgm@hotmail.com;0489 12 73 68;51.2198455093;4.3630182711;Deurne;6.635628488837449
227730;A Room;BED_AND_BREAKFAST;SINT-TRUIDERSTEENWEG;119;3500;Hasselt;1;1;;;50.922913;5.331941;Sint-Truiden;16.975936937532182
212145;A room with a view;BED_AND_BREAKFAST;HUGO VERRIESTSTRAAT;10;8000;Brugge;3;10;info@aroomwithaview.be;+32 50 33 47 36;51.213823;3.235237;Poelkapelle;35.14284027852547
382096;A Secret Garden;HOLIDAY_COTTAGE;Boterbloemstraat;12;8820;Torhout;1;3;;;51.0853894986;3.1349015195;Poelkapelle;19.35979677867737
357826;A spacious holiday home in Bruges;HOLIDAY_COTTAGE;TORHOUTSE STEENWEG;32;8200;Brugge;1;6;tripelbbruges@gmail.com;0485505101;51.202875;3.207427;Poelkapelle;33.0996110971911
276451;A&D;BED_AND_BREAKFAST;KORTEMARKSTRAAT;68;2600;Antwerpen;1;2;dominika.ras@gmail.com;;51.192679;4.44428;Deurne;2.2232897656307107
240724;A1P;HOLIDAY_COTTAGE;Duinenweg;539_38;8430;Middelkerke;1;2;info@jonckershof.be;;51.1713292160785;2.78330537822063;Koksijde;13.26936008389838
